4543575;"CABECOTE,VARA MANOBRA;ABRIR CHAVES;EMS1";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543585;CINTURAO,SEG,COURO AO CROMO,N:20,EMS12;FORA DE PADRÃO;12/03/2019;12/03/2019
4543586;CINTURAO,SEG,COURO AO CROMO,N:22,EMS12;FORA DE PADRÃO;12/03/2019;12/03/2019
4543587;"CINTURAO,SEG;COURO AO CROMO;N:24;EMS-12";FORA DE PADRÃO;12/03/2019;12/03/2019
4543588;CONJ,ATERR,RDS 380/220V,SAC LONA,EMS-14;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543589;CONJ,ATERR,POR TORCAO,RDP 34,5KV,EMS-15;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543590;"CONJ,ATERR;LINHA TRANSMISSAO 69KV;EMS-1";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543592;"DETETOR,TENSAO;1-138KV;SON/LUMI;EMS18;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543593;ESPORA,POSTE CONC DT,CORREIA COURO,EMS20;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543594;"""EXTINTOR,INCENDIO;CO2;6KG;COELCE PLUS""";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543597;"LUVA,SEG PVC;PUNHO MEDIO;TAM.MEDIO;EMS27";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543598;LUVA,SEG BORR,TIPO I/II,C=2,N:9.5,EMS-24;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543599;LUVA,SEG BORR,TIPO I/II,C=2,N.10,EMS-24;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543600;LUVA,SEG BORR,TIPO I/II,C=2,N:10.5,EMS24;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543601;LUVA,SEG BORR,TIPO I/II,C=0,N9.5,EMS-24;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543602;LUVA,SEG BORR,TIPO I/II,C=0,N.10,EMS-24;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543603;LUVA,SEG BORR,TIPO I/II,C=0,N:10.5,EMS24;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543604;"LUVA,COURO;VAQ;PROT LUVA; 9,5-BLOQUEADO";FORA DE PADRÃO;12/03/2019;12/03/2019
4543605;"LUVA,COURO;VAQ;PROT LUVA;10 - BLOQUEADO";FORA DE PADRÃO;12/03/2019;12/03/2019
4543606;LUVA,SEG COURO,PROTECAO ISOLANTE, EMS26;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543607;"LUVA,SEG COURO;PELICA;PRET;G;MOTOQ;EMS30";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543608;"LUVA,SEG COURO;PELICA;PRET;M;MOTOQ;EMS30";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543609;LUVA DE VAQUETA;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543610;LUVA SEG COURO,VAQ,T.UNICO,EMS-29-EPI;NÃO-ESTOQUE;12/03/2019;12/03/2019
